ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,Status
1997,84,4,2,0,0,0,0,0,1.0
1997,60,2,2,0,0,0,0,0,1.0
1997,180,7,1,0,0,0,0,0,1.0
1997,60,2,1,0,0,0,0,0,1.0
1997,240,14,1,7,7,0,0,0,1.0
1997,120,19,1,0,0,0,0,0,1.0
1980,45,45,2,0,0,0,0,0,2.0
1997,84,1,2,0,0,0,0,0,1.0
1997,297,2,2,0,0,0,0,0,1.0
1997,84,3,2,0,0,0,0,0,1.0
1997,84,1,2,0,0,0,0,0,1.0
1997,60,24,1,0,0,0,0,0,1.0
2006,162,2,2,0,0,1,1,0,1.0
1997,120,2,2,0,0,0,0,0,1.0
1997,240,1,1,30,0,0,0,0,1.0
1997,12,5,2,0,0,0,0,0,1.0
1997,60,5,1,0,0,0,0,0,1.0
1997,60,16,1,0,0,0,0,0,1.0
1997,84,12,2,0,0,1,0,0,1.0
1997,120,4,2,0,0,0,0,0,1.0
1997,300,12,2,0,0,0,0,0,1.0
1997,87,2,1,0,0,0,0,0,1.0
1997,114,6,1,0,0,0,0,0,1.0
1997,144,90,1,0,0,0,0,0,1.0
2006,126,7,1,0,0,0,1,0,1.0
1997,60,2,1,0,0,0,0,0,1.0
1997,60,2,2,0,0,0,0,0,1.0
1997,240,3,1,0,0,0,0,0,1.0
2006,83,18,2,5,23,0,1,1,1.0
1997,240,1,2,5,0,0,0,0,1.0
2006,84,4,1,0,4,0,1,1,1.0
1997,102,12,1,0,0,0,0,0,1.0
2006,60,3,1,0,0,0,1,0,1.0
1997,84,2,2,0,0,0,0,0,1.0
2006,80,2,1,4,6,0,2,1,1.0
1997,84,2,1,0,0,0,0,0,1.0
1997,137,2,1,0,0,0,0,0,2.0
1997,84,9,1,0,0,0,0,0,1.0
2006,84,4,1,1,4,0,1,0,1.0
1997,180,7,1,0,0,0,0,0,1.0
1997,84,3,1,0,0,0,0,0,1.0
1997,126,5,1,0,0,0,0,0,1.0
1997,120,2,2,0,0,0,0,0,1.0
1980,120,16,2,0,0,0,0,1,2.0
1997,84,3,1,0,0,0,0,0,1.0
1997,12,20,1,0,0,0,0,0,1.0
1997,84,1,1,0,0,0,0,0,1.0
1997,84,4,1,0,0,0,0,0,1.0
1997,84,6,1,0,0,0,0,1,1.0
2006,84,1,2,0,1,0,1,0,1.0
1997,60,7,2,0,0,0,0,0,1.0
1997,12,1,1,0,0,0,0,0,1.0
1997,120,5,1,0,0,0,0,0,1.0
1997,12,1,1,0,0,0,0,0,1.0
1997,42,2,1,0,0,0,0,0,1.0
1997,84,2,1,0,0,0,0,0,1.0
1997,96,1,2,0,0,0,0,0,1.0
2006,167,9,1,0,9,0,1,0,2.0
1997,84,5,1,0,0,0,0,0,1.0
1997,7,10,1,0,0,0,0,0,2.0
1997,84,8,1,0,0,0,0,0,1.0
2006,36,20,2,20,20,0,1,0,1.0
1997,300,50,1,0,0,0,0,0,1.0
1997,37,7,1,0,0,0,0,0,2.0
2006,83,2,1,0,2,0,1,1,1.0
1997,12,10,1,0,0,0,0,0,1.0
2006,26,4,2,1,5,0,2,1,2.0
1997,240,18,1,10,0,0,0,0,1.0
1997,84,2,1,0,0,0,0,0,1.0
1997,84,3,1,0,0,0,0,0,1.0
2006,264,9,1,0,9,0,1,0,1.0
1997,60,3,1,0,0,0,0,0,1.0
1997,60,9,1,0,0,0,0,0,1.0
1997,72,1,2,0,0,0,0,0,1.0
1997,24,20,1,0,0,0,0,0,1.0
1997,84,1,1,0,0,0,2,0,1.0
2006,36,18,1,1,19,0,1,1,1.0
1997,84,5,2,0,0,0,0,0,1.0
1997,84,1,1,0,0,0,0,0,1.0
2006,84,1,2,0,1,0,1,0,1.0
1997,72,5,2,0,0,0,0,0,1.0
1997,12,3,1,0,0,0,0,0,1.0
2006,5,1,2,3,4,0,1,0,2.0
1997,240,20,1,8,8,0,0,0,1.0
1997,60,4,1,0,0,0,0,0,1.0
1997,12,4,1,0,0,0,0,0,1.0
1997,84,3,1,0,0,0,0,0,1.0
1997,84,3,1,0,0,0,0,0,1.0
2006,54,4,1,8,4,0,2,1,2.0
1997,240,17,1,10,0,0,0,0,1.0
1997,84,1,1,0,0,0,0,0,1.0
1997,84,7,1,0,0,0,0,0,1.0
1997,84,2,1,0,0,0,0,0,1.0
2006,120,16,2,16,1,0,0,0,1.0
1997,87,6,1,0,0,0,0,0,1.0
1997,84,2,1,0,0,0,0,0,1.0
1997,300,5,1,0,0,0,0,0,1.0
1997,84,3,1,0,0,0,0,0,1.0
1997,12,32,1,0,0,0,0,0,1.0
1997,12,5,1,0,0,0,0,0,1.0
1997,84,9,1,0,0,0,0,0,1.0
